model_id,term,estimate,std_error_cluster_origin,z_value,p_value,conf_low,conf_high,transform,coefficient_scale,covariance
ppml_russia_inbound_structural_allocation_v3,const,3.4614526521615243,0.6571615356068005,5.267278233144515,1.384612712055853e-07,2.173439710347159,4.74946559397589,intercept,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,ln_student_pool,2.189933982744674,0.37616509436335716,5.821736294939967,5.8239390662895604e-09,1.4526639455513832,2.9272040199379648,ln(UN WPP student_pool),one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,ln_distance,-0.19621613110032285,0.4915499003010833,-0.39917845773162985,0.6897617151179118,-1.1596362322947005,0.7672039700940547,"ln(great-circle distance to Moscow, km)",one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,ln_outbound,0.8111611990932753,0.229801131020476,3.5298398902179393,0.0004158112206012051,0.36075925868657216,1.2615631394999784,ln(1 + UNESCO UIS outbound mobility ratio),one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,ln_outbound_missing,-1.4719115297109573,0.5707592771160953,-2.578865712263426,0.009912531259426274,-2.5905791567006204,-0.35324390272129413,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,tertiary_share,0.20552617624800493,0.287352485404942,0.7152406423712464,0.4744603594647414,-0.3576743460137529,0.7687266985097628,UNESCO/World Bank tertiary gross enrolment percent / 100,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,tertiary_share_missing,1.5352127009963454,0.6159499055348859,2.492431100647997,0.012687194289377916,0.3279730698671206,2.7424523321255703,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,unga_alignment,0.9311652957269587,0.25509970773994217,3.6502013427479976,0.0002620348275144429,0.4311790560899784,1.431151535363939,"recency- and controversy-weighted UNGA vote agreement with Russia, 5-year trailing window",one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,unga_alignment_missing,-0.020409275899455046,0.5608728041311648,-0.03638842131251236,0.9709726465204402,-1.119699771904526,1.0788812201056162,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_Europe & Central Asia,2.645697705574786,1.0436581487981749,2.5350232819256386,0.011243985280387005,0.6001653217586185,4.691230089390953,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
