territory_id,territory_name,federal_district_name,activity_id,okved_section,activity_name,forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,forecast_quality_flag,training_source_coverage_flag,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
TER081,Кемеровская область - Кузбасс,Сибирский федеральный округ (с 03.11.2018),OKVED_B,B,Добыча полезных ископаемых,2050,2553.2805187661725,113791.42161013633,113791.42161013633,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":113791.42161013633,""foreign_labor_stock_need_persons"":113791.42161013633,""recommended_annual_quota_persons"":2553.2805187661725}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,953d0a71eed7b2ded19b6d49ad00f6d3393ae607aa87fdafbcc147b56d695899
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_K,K,Деятельность финансовая и страховая,2050,2516.357585987484,45330.080589130346,45330.080589130346,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":45330.080589130346,""foreign_labor_stock_need_persons"":45330.080589130346,""recommended_annual_quota_persons"":2516.357585987484}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,5f6e6f0a69f62f16c8664d19c305d55028fb11c1f14e2eaebeb312327d7cc624
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_H,H,Транспортировка и хранение,2050,2420.5893168943003,45500.60133603355,45500.60133603355,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":45500.60133603355,""foreign_labor_stock_need_persons"":45500.60133603355,""recommended_annual_quota_persons"":2420.5893168943003}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,2c22ed1aefaddbc923782c93e7204e9935f5db4d6585cc24cd8a51dce1dc5928
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_S,S,Предоставление прочих видов услуг,2050,2355.2634924698505,38594.165376576944,38594.165376576944,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":38594.165376576944,""foreign_labor_stock_need_persons"":38594.165376576944,""recommended_annual_quota_persons"":2355.2634924698505}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,ff4b67405aaf9b505e879b50066f2fb3b471d97bd53adea7f50a65e9e44e7ee4
TER068,Свердловская область,Уральский федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,2298.294339464628,58846.797517395,58846.797517395,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":58846.797517395,""foreign_labor_stock_need_persons"":58846.797517395,""recommended_annual_quota_persons"":2298.294339464628}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,bb4636726f1f9454f9bf1a8e5f18420fbff5cd2c926a0cf70c8f492c67c572c1
TER012,Московская область,Центральный федеральный округ,OKVED_F,F,Строительство,2050,2120.066709413659,17943.80830556259,17943.80830556259,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":17943.80830556259,""foreign_labor_stock_need_persons"":17943.80830556259,""recommended_annual_quota_persons"":2120.066709413659}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,d3ae7e5c1132dfb968332e81bdc885407c9fa11f023e17f5f45bd1f6ef9b8d04
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_P,P,Образование,2050,2065.551045347471,36392.5886391901,36392.5886391901,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":36392.5886391901,""foreign_labor_stock_need_persons"":36392.5886391901,""recommended_annual_quota_persons"":2065.551045347471}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,eb3703184992553a5811c66119b80865ca13ab7c535da2dfd8221d018a3ff29d
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_L,L,Деятельность по операциям с недвижимым имуществом,2050,2047.8470296277665,35111.80438651476,35111.80438651476,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":35111.80438651476,""foreign_labor_stock_need_persons"":35111.80438651476,""recommended_annual_quota_persons"":2047.8470296277665}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,6269350eff07b167437e8add9112a9a52f49c422c6b54f15190ac3dca1b14252
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_C,C,Обрабатывающие производства,2050,2011.343502591364,50641.11798037501,50641.11798037501,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":50641.11798037501,""foreign_labor_stock_need_persons"":50641.11798037501,""recommended_annual_quota_persons"":2011.343502591364}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,a8b7c5ce5be1317e8652800264f5a75b78a5a8792ba6aabf299792320bbceaab
TER012,Московская область,Центральный федеральный округ,OKVED_P,P,Образование,2050,1914.6208022903884,14037.469832978417,14037.469832978417,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":14037.469832978417,""foreign_labor_stock_need_persons"":14037.469832978417,""recommended_annual_quota_persons"":1914.6208022903884}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,25f0f1ecc6267e2026702606aacaf177703893aa11082496b4ddbe298a22effe
